,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,거룩한 계보,,2006,69,6.3,0,"['드라마', '액션', '코미디', '범죄']",123,15.0,,"치성은 전라도 조직세계를 주름잡는 전설의 칼잡이다. 그의 곁에는 유년시절부터 주먹세계에 입문하기까지 모든 걸 함께해온 죽마고우 주중이 있다. 마약 제조업자 최박사의 신기술을 노리는 조직의 명령으로 그에게 칼을 들게 된 치성은 모든 책임을 홀로 지고 감옥에 가게 된다. 그곳에서 그는 수년 전 죽은 줄로만 알았던 또 한명의 죽마고우 순탄과 우연히 재회하고 그간 마음에 담아둔 회포를 푼다.  한편, 치성을 감옥에 보내고 조직에 남게 된 주중은 마음이 착잡하기만 하다. 그러던 어느 날, 몇 해전 치성에게 한쪽 다리를 잃은 경쟁 조직의 보스 성봉식이 치성 부모에게 칼을 휘두르는 사건이 발생하고, 조직은 세력확장을 위한 검은 거래 속에서 그 사건에 대해 침묵하며 치성에게서 등을 돌린다. 주중은 치성에 대한 연민으로 마음이 괴롭지만, 조직원으로서의 의무감을 떨쳐내지 못하고 갈등하게 된다.  10년간 조직을 위해 모든 것을 바쳐온 치성은 치를 떠는 배신감에 분노한다. 이제 그에게 남은 건 오직 하나! 치성은 조직에 대한 복수를 결심하고, 순탄을 포함한 감옥 동기들과 함께 탈옥을 모색한다. 각양각색의 탈출방법을 시도하던 중, 일명 거룩한 계보 일행은 뜻밖의 기상천외한 방법으로 마침내 탈옥에 성공한다. 탈옥 후, 치성은 최후의 목표인 조직의 보스 김영희를 만나러 가던 중, 조직원의 신분으로 자신을 마주해야 하는 주중과 피할 수 없는 대결의 순간을 맞이하게 되는데.",https://images.justwatch.com/poster/189449716/s592/righteous-ties,https://www.justwatch.com/images/backdrop/292870388/s1440/righteous-ties,"['http://www.netflix.com/title/70127973', 'https://watcha.com/contents/mMO2DQ5']","['Netflix', 'Watcha']"
1,Re:ZERO -Starting Life in Another World- Director's Cut - 시즌 1,,2020,34,0.0,0,"['드라마', 'SF', '애니메이션', '액션']",50,,13.0,"On the way home from the convenience store, a boy named Subaru Nazuki was suddenly summoned by another world. In a different world where he can't rely on anything, the only power of the weak boy's hand... is the power to ""die and start again"". In order to protect the most important people, in order to regain the irreplaceable time, the boy resisted despair and bravely faced the cruel fate. (This new edited version adds new scenes based on the animation of the first season, and combines 2 episodes into 1 episode to make a special episode with a duration of 1 hour in a single episode)",https://images.justwatch.com/poster/242342955/s592/시즌-1,https://www.justwatch.com/images/backdrop/173673556/s1440/시즌-1,['http://www.netflix.com/title/81262169'],['Netflix']
2,몬스터 런,,2020,53,5.1,0,"['액션', '판타지', '드라마', 'SF', '스릴러']",104,,,"몬스터를 볼 수 있는 능력을 가진 지모. 능력은 없지만 먹고 살기 위해 몬스터를 사냥하는 멍. 우연히 몬스터 사냥을 하는 멍을 만난 지모는, 다소 험악한 첫인상과는 달리 그가 자신을 도와 줄 유일한 인물임을 직감한다. 그리고 그로 인해 지모는 자신이 단순히 몬스터들을 보는 것 이상으로 엄청난 능력을 가지고 있다는 것을 알게 되는 동시에, 그 능력으로 인해 위험에 처하게 되는데…",https://images.justwatch.com/poster/294882524/s592/monseuteo-reon,https://www.justwatch.com/images/backdrop/200415526/s1440/monseuteo-reon,['http://www.netflix.com/title/81406611'],['Netflix']
3,마작영웅전,,1981,59,5.5,0,"['액션', '코미디']",91,,,"마작의 세계엔 두 가지 유형만 있다. 고수 아니면 사기꾼. 물론 여럿이 얼기설기 엮여 있지만. 어쨌든 선과 악 혹은 고수와 사기꾼이 나름 살벌한 대결을 펼치며 다양한 군상의 진면목을 보여주는 코미디 영화, 그 깨알 재미를 느껴보시라.",https://images.justwatch.com/poster/138650802/s592/mahjong-heroes,https://www.justwatch.com/images/backdrop/300566649/s1440/mahjong-heroes,['http://www.netflix.com/title/80997867'],['Netflix']
4,짱구는 못말려 극장판: 암흑 마왕 대추적,,1997,78,6.8,0,"['애니메이션', '코미디', '액션']",100,,,"짱구는 어느 날 오후, 강가에서 자고 있는 한 남자 옆에서 작은 구슬을 하나 줍는다. 그 구슬은 옛날 주유랑족과 주황천족이 세상을 지배할 수 있는 힘을 가진 `잭`이라는 악마를 토기 인형 안에 봉인해 둔 열쇠가 되는 구슬이었다. 잭을 부활시켜 세상을 지배하려는 핵슨과 주황턴족의 여자 우두머리의 음모로 잭을 부활시킬 구슬 두 개를 찾아 혈전이 펼쳐진다.  세상의 평화를 지키려는 주유랑족은 주황천족과 핵슨의 음모에 맞서 구슬을 지키기 위해 싸운다.  짱구가 처음 본 남자 로즈는 주유랑족 우두머리의 큰 아들이었던 것이다. 세상을 지키려는 주유랑족과 세상을 지배하려는 주황천족의 싸움에 우연찮게 말려든 짱구와 가족들은 무사히 세상의 평화를 지켜낼 수 있을 것인가!!",https://images.justwatch.com/poster/296342964/s592/jjangguneun-mosmalryeo-geugjangpan-amheug-mawang-daecujeog,https://www.justwatch.com/images/backdrop/9625841/s1440/jjangguneun-mosmalryeo-geugjangpan-amheug-mawang-daecujeog,"['http://www.netflix.com/title/80243205', 'https://www.wavve.com/player/movie?movieid=MV_CR01_DN0000011211']","['Netflix', 'wavve']"
5,프리즌,,2017,74,6.5,2000,"['액션', '범죄']",125,,,"밤이 되면 죄수들이 밖으로 나가 대한민국 완전범죄를 만들어내는 교도소  그 교도소의 권력 실세이자 왕으로 군림하는 익호(한석규).  그 곳에 검거율 100%로 유명한 전직 경찰 유건(김래원)이 뺑소니, 증거인멸, 경찰 매수의 죄목으로  입소하게 되고, 특유의 깡다구와 다혈질 성격으로 익호의 눈에 띄게 된다.  익호는 유건을 새로운 범죄에 앞세우며 점차 야욕을 내보이는데 …  세상을 움직이는 놈들은 따로 있다  감옥 문이 열리면 큰 판이 시작된다!",https://images.justwatch.com/poster/12140236/s592/peurijeun,https://www.justwatch.com/images/backdrop/21197931/s1440/peurijeun,"['http://www.netflix.com/title/80177865', 'https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000094']","['Netflix', 'wavve']"
6,Blippi The Musical,,2022,36,4.3,0,"['음악', '액션', '가족']",60,,,The energetic and fun Blippi brings all his previous adventures and lessons on stage that'll make everyone sing and dance along.,https://images.justwatch.com/poster/265024247/s592/blippi-the-musical,https://www.justwatch.com/images/backdrop/265024248/s1440/blippi-the-musical,['http://www.netflix.com/title/81563572'],['Netflix']
7,짱구는 못말려 극장판: 흑부리 마왕의 야망,,1995,71,6.6,0,"['애니메이션', '코미디', 'SF', '스릴러', '액션']",96,,,"타임머신 사고 때문에 흰둥이의 몸에 들어간 타임 패트롤 대원인 링링은 과거의 이상한 흐름을 감지하고, 시간을 바로 잡기 위해 짱구와 그의 부모를 설득해 과거로 날아간다. 시간 흐름에 이상을 생기게 한 흑부리 마왕을 처치하기 위해, 짱구는 몰락한 가문의 후예인 하리용과 손을 잡고, 마침내 흑부리 성으로 쳐들어가는데...",https://images.justwatch.com/poster/296383153/s592/jjangguneun-mosmalryeo-geugjangpan-heugburi-mawangyi-yamang,https://www.justwatch.com/images/backdrop/11939093/s1440/jjangguneun-mosmalryeo-geugjangpan-heugburi-mawangyi-yamang,"['https://www.wavve.com/player/movie?movieid=MV_CR01_DN0000011209', 'http://www.netflix.com/title/80243204']","['Netflix', 'wavve']"
8,로즈 아일랜드 공화국,,2020,77,7.0,22000,"['코미디', '드라마']",117,15.0,,"1968년 이탈리아, 정부에게서 벗어나 자신만의 나라를 세운 남자. 바다 한가운데 직접 지은 인공 섬에서 그는 초소형 공화국의 대통령이 된다. 특별한 이상을 꿈꾸던 한 엔지니어의 이야기.",https://images.justwatch.com/poster/224381773/s592/rojeu-ailraendeu-gonghwagug,https://www.justwatch.com/images/backdrop/257712439/s1440/rojeu-ailraendeu-gonghwagug,['http://www.netflix.com/title/81116948'],['Netflix']
9,조폭 마누라 3,,2006,67,6.3,1000,"['코미디', '드라마', '액션']",115,15.0,,"홍콩 최고의 명문 조직 화백련 보스의 외동딸 아령(서기). 보스 임회장은 조직간 세력다툼이 벌어지자 그녀를 한국으로 피신시키고 한국의 동방파 보스 양사장에게 딸의 안전을 부탁한다. 양사장은 밀수로나마 중국어 실력을 쌓아온 No.3 기철(이범수)을 믿고(?) 아령의 보호를 맡긴다. 아령의 실체를 전혀 모른 채 관광 가이드쯤으로 생각한 기철과 꽁치(오지호), 도미(조희봉)는 명문가의 후계자다운 아령의 도도함 때문에 당황스러울 뿐.  급기야 밀수용 중국어 실력에 한계를 느낀 기철은 연변처녀 연희(현영)를 급초빙하게 된다.기철과 아령 사이에서 살벌한 기운이 감도는 가운데 연희는 생존본능적인 엽기 통역을 구사하며 이들의 좌충우돌 동거에 합류한다. 그러나 아령의 목숨을 노린 킬러가 홍콩에서 한국으로 급파되면서 아령 뿐 아니라 기철 일당마저 생명의 위협을 받게 되는데…",https://images.justwatch.com/poster/11234485/s592/my-wife-is-a-gangster-3,https://www.justwatch.com/images/backdrop/11234420/s1440/my-wife-is-a-gangster-3,"['https://www.wavve.com/player/movie?movieid=MV_SB01_SB0000000011', 'http://www.netflix.com/title/80195380']","['Netflix', 'wavve']"
