,title,season,release_date,rate_jw,rate_imdb,popularity,genres,run_time,content_rating,episode_cnt,Synopsis,images,backdrops,ott,link
0,오늘부터 패밀리,,2017,78,7.7,24000,['코미디'],126,15.0,,"별난 우연으로 여가수를 알게 된 이혼남. 그녀로부터 큰 부탁을 받는다. 곧 결혼할 그녀의 딸을 위해 아빠가 되어달라는 것. 졸지에 남의 집 가장 행세를 하게 되지만 그는 거짓말이라곤 못 하는 위인이었으니. 이 결혼식, 불안불안하다.",https://images.justwatch.com/poster/141707950/s592/in-the-family,https://www.justwatch.com/images/backdrop/49123464/s1440/in-the-family,[],[]
1,형,,2016,83,7.3,3000,"['드라마', '코미디', '스포츠']",110,,,"유도 국가대표 고두영(도경수)은 경기 도중 불의의 사고를 당하게 되고  이 소식을 들은 사기전과 10범의 형 고두식(조정석)은 눈물의 석방 사기극을 펼친다!  “형은 개뿔, 제발 내 인생에서 꺼져!”  형이 돌아오고 인생이 더 깜깜해졌다!  하루 아침에 앞이 깜깜해진 동생을 핑계로 1년간 보호자 자격으로 가석방 된 두식!.  15년동안 단 한번도 연락이 없던 뻔뻔한 형이 집으로 돌아오고  보호자 노릇은커녕 ‘두영’의 삶을 더 엉망진창으로 만드는데….  남보다 못한 형제의 예측불허 동거가 시작된다!",https://images.justwatch.com/poster/242373784/s592/hyeong,https://www.justwatch.com/images/backdrop/9346914/s1440/hyeong,"['https://watcha.com/contents/md6YxNy', 'http://www.netflix.com/title/80160001']","['Netflix', 'Watcha']"
2,이지 걸,,2019,62,5.6,5000,"['드라마', '코미디', 'Made in Europe']",92,,,"사랑 따위, 난 관심 없어. 숨 쉬듯이 남자를 바꾸며 원하는 걸 얻어내는 사촌 언니. 그녀 덕에 칸에서 호화로운 여름을 맛본 나이마의 가치관이 흔들린다. 명품과 화려한 삶을 누리려면 언니처럼 부자를 만나면 되는 걸까.",https://images.justwatch.com/poster/197992917/s592/une-fille-facile,https://www.justwatch.com/images/backdrop/153946546/s1440/une-fille-facile,['http://www.netflix.com/title/81081603'],['Netflix']
3,이지와 오시,,2020,74,6.4,8000,"['코미디', '로맨스']",113,,,셰프가 되고 싶은 소녀와 복서로 성공하고 싶은 소년. 그들이 서로의 꿈을 위해 동맹을 맺는다. 억만장자인 소녀의 부모를 설득해 돈을 받아낼 것. 일단 계획은 완벽하다. 이대로 흘러가기만 한다면!,https://images.justwatch.com/poster/171148102/s592/isi-and-ossi,https://www.justwatch.com/images/backdrop/164508299/s1440/isi-and-ossi,['http://www.netflix.com/title/81058435'],['Netflix']
4,베스트셀러,,2021,69,6.2,4000,"['드라마', '코미디']",100,,,출판사를 운영하던 아빠가 치매로 요양원에 계셔 가업을 이어받은 엘리자베스는 뚜렷한 히트작을 내지 못해 회사가 매각될 처지에 빠진다. 그러다 오래전 아빠와 거래하던 작가 해리스를 만나게 돼 책을 출판하게 되는데..,https://images.justwatch.com/poster/251466346/s592/best-sellers,https://www.justwatch.com/images/backdrop/250757289/s1440/best-sellers,['http://www.netflix.com/title/81254446'],['Netflix']
5,Jeff Foxworthy: The Good Old Days,,2022,71,6.3,0,"['코미디', '다큐멘터리']",60,15.0,,"Jeff looks back on simpler times as he talks aging, texting and ""sex education,"" then shares one wild story from the Blue Collar Comedy Tour.",https://images.justwatch.com/poster/268546349/s592/jeff-foxworthy-the-good-old-days,https://www.justwatch.com/images/backdrop/268000401/s1440/jeff-foxworthy-the-good-old-days,['http://www.netflix.com/title/81180830'],['Netflix']
6,Sebastian Maniscalco: Stay Hungry,,2019,73,7.1,1000,['코미디'],65,15.0,,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special.",https://images.justwatch.com/poster/114635595/s592/sebastian-maniscalco-stay-hungry,https://www.justwatch.com/images/backdrop/105343084/s1440/sebastian-maniscalco-stay-hungry,['http://www.netflix.com/title/80218104'],['Netflix']
7,빌 버: 알고보면 종이호랑이,,2019,84,8.1,11000,['코미디'],67,,,"입만 열었다 하면 논란을 제조하는 코미디언 빌 버가 런던에 떴다. 예민한 관객들, 남성 페미니스트, 로봇 섹스, 인종 문제까지, 하나도 마음에 드는 게 없다는데. 어떻게 그런 말을 할 수 있냐고? 농담은 농담일 뿐, 오해는 금물!",https://images.justwatch.com/poster/191750077/s592/bill-burr-paper-tiger,https://www.justwatch.com/images/backdrop/145341798/s1440/bill-burr-paper-tiger,['http://www.netflix.com/title/81060174'],['Netflix']
8,파리에선 사랑을,1.0,2018,78,7.1,5000,"['코미디', '로맨스']",27,,8.0,사랑의 도시 파리에서! 헤어진 연인에게 집착하는 엘자. 그녀를 위해 친구들이 돈을 주고 남자를 고용한다. 비밀도 계획도 사랑 앞에선 무용지물이라는 걸 잠시 잊었네?,https://images.justwatch.com/poster/98128147/s592/시즌-1,https://www.justwatch.com/images/backdrop/88857177/s1440/시즌-1,['http://www.netflix.com/title/80190086'],['Netflix']
9,파리에선 사랑을,2.0,2019,78,7.1,5000,"['코미디', '로맨스']",30,,7.0,"엘자가 아르헨티나로 떠난 지, 정확히는 떠난 척 연기한 지 4개월. 거짓말을 더 했다간 사랑도 우정도 위태로울 지경이다. 그러나 우리의 엘자가 진실을 말할 수 있을까?",https://images.justwatch.com/poster/141462568/s592/시즌-2,https://www.justwatch.com/images/backdrop/88857177/s1440/시즌-2,['http://www.netflix.com/title/80190086'],['Netflix']
10,파리에선 사랑을,3.0,2022,78,7.1,5000,"['코미디', '로맨스']",30,,6.0,,https://images.justwatch.com/poster/259099829/s592/시즌-3,https://www.justwatch.com/images/backdrop/88857177/s1440/시즌-3,['http://www.netflix.com/title/80190086'],['Netflix']
11,7번방의 선물,,2013,87,8.1,21000,"['드라마', '코미디']",127,15.0,,최악의 흉악범들이 모인 교도소 7번방에 이상한 놈이 들어왔다! 그는 바로 6살 지능의 딸바보 용구. 평생 죄만 짓고 살아온 7번방 패밀리들에게 떨어진 미션은 바로 용구 딸 예승이를 외부인 절대 출입금지인 교도소에 반.입.하.는.것! 웃음과 감동 가득한 사상초유의 합동작전이 시작된다!,https://images.justwatch.com/poster/217517393/s592/miracle-in-cell-no-7,https://www.justwatch.com/images/backdrop/135793414/s1440/miracle-in-cell-no-7,['http://www.netflix.com/title/70271432'],['Netflix']
12,"내 어깨 위 고양이, 밥",,2016,83,7.3,32000,"['드라마', '가족', '코미디']",100,,,"아무런 희망도 미래도 없는 버스킹 뮤지션 제임스는 길거리에서 상처 입은 고양이 밥을 우연히 발견한다. 자신과 같은 처지인 고양이 밥을 위해 생활비를 모두 쏟아 치료해준 후, 여느 날처럼 거리 버스킹 공연을 시작한 제임스는 평소와 다른 분위기를 눈치채게 된다. 어느샌가 고양이 밥이 제임스 옆자리를 지키고 있었던 것. 평생 한번도 받아보지 못했던 사람들의 따뜻한 환호 속에 제임스는 고양이 밥과 함께 버스킹 공연을 이어나간다. 우연한 만남을 통해 인생의 두번째 기회를 맞이하게 된 제임스와 밥의 버스킹 프로젝트가 계속 되던 중, 이들을 시기한 사람들의 방해로 인해 둘은 인생의 또 다른 시련에 맞닥뜨리게 되는데…",https://images.justwatch.com/poster/183500705/s592/a-street-cat-named-bob,https://www.justwatch.com/images/backdrop/5563941/s1440/a-street-cat-named-bob,"['http://www.netflix.com/title/80131190', 'https://watcha.com/contents/m5QqQEl', 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000094533']","['Netflix', 'wavve', 'Watcha']"
13,본 투 비 블루,,2015,74,6.9,8000,"['드라마', '음악', '로맨스', '코미디']",97,,,"청춘의 음색을 지닌 뮤지션 '쳇 베이커'  모두가 그의 음악을 사랑했지만,  더 이상 연주를 할 수 없어진 순간  연인 ‘제인’과 트럼펫만이 곁에 남았다.  지금 이 순간이 마지막이라도  들려주고 싶은 음악이 있다.  살아보고 싶은 인생이 있다.  다시, '쳇 베이커'만의 방식으로...",https://images.justwatch.com/poster/189838183/s592/born-to-be-blue,https://www.justwatch.com/images/backdrop/9127192/s1440/born-to-be-blue,['http://www.netflix.com/title/80081276'],['Netflix']
14,빅 코미디 크로스오버: 시트콤 스페셜,1.0,2020,68,5.6,0,"['코미디', '가족']",29,,4.0,,https://images.justwatch.com/poster/202158699/s592/시즌-1,https://www.justwatch.com/images/backdrop/202158712/s1440/시즌-1,['http://www.netflix.com/title/81223007'],['Netflix']
15,코리아 넘버원,1.0,2022,73,7.4,0,"['코미디', 'Reality TV']",46,,8.0,,https://images.justwatch.com/poster/302436832/s592/시즌-1,https://www.justwatch.com/images/backdrop/301770042/s1440/시즌-1,['http://www.netflix.com/title/81610166'],['Netflix']
16,사랑이란 이야기,,2015,73,6.0,0,"['코미디', '로맨스', 'Made in Europe']",107,15.0,,시작은 우연이었다. 바이올린을 켜는 남자와 도도한 여배우. 꿈보다 사랑을 택한 둘의 달콤한 시간. 그러나 서서히 현실에 지쳐갈 때쯤 이들에게 남은 건 무엇이었을까. 둘의 사랑은 같은 곳을 향했을까. 크리스마스가 다가오고 있다.,https://images.justwatch.com/poster/41001752/s592/poveste-de-dragoste,https://www.justwatch.com/images/backdrop/131885555/s1440/poveste-de-dragoste,['http://www.netflix.com/title/81092767'],['Netflix']
17,웨딩 플래너,,2001,63,5.3,83000,"['코미디', '로맨스']",103,,,"뉴욕에서 가장 유명하고 능력 있는 웨딩플래너 메리는 갑부들과 유명 인들의 결혼에 관한 모든 사항을 만족할 만큼 완벽히 처리해 내는 성공한 커리어우먼이다. 항상 웃음을 잃지 않으며 자신감을 보이는 그녀지만 마음속 한 구석엔 언제나 고민으로 가득하다. 그 이유는 바로 자신이 이제 결혼 적령기라는 사실과 또한 실제로 자신이 결혼을 원하고 있다는 사실이다. 하지만 그것보다도 그녀에게는 자신이 기획한 웨딩에서의 신랑같이 멋진 남자들이 존재하지 않다는 것이 더욱 그녀의 마음을 외롭게 한다.  그러던 어느 날, 그녀에게도 동화 속에 나오는 운명적인 만남이 찾아오는데. 그 주인공은 덤프트럭에 치일 뻔한 자신을 구해준 의사 스티브.. 과거 약혼자에게 배신당한 그녀로서는 스티브의 순수하고 따뜻한 모습에 점점 마음이 이끌려갔고 스티브또한 그녀에게 뭔가 묘한 느낌을 받게 된다. 어느 날, 메리는 자신의 고객인 프란에게 약혼자를 소개받는 자리에서 생애 최고의 충격을 받게 되는데...  얼마 전 만난 동화 속 왕자님 스티브가 바로 프란의 약혼자였던 것. 스티브와 서먹서먹한 인사를 나눈 메리는 사업상 잠시 출장을 가야하는 프란을 대신해서 그와 함께 그들의 결혼준비를 하러 다닌다. 그러는 동안 두 사람은 서로에 대해 더 많은 것을 알게되며 가까워지지만 고객과의 사랑은 절대 하지 않겠다는 메리의 의지로 아쉬움만을 남기게 된다. 결국 프란과 스티브의 웨딩플래너 일을 그만두고 오랜 친구인 마사모와 결혼을 결심한 메리. 스스로의 감정을 억제한 채 프란과의 결혼만을 생각하려는 스티브. 결혼식 날이 점점 다가올수록 두 사람의 애타는 가슴은 뜨거워만 가는데.",https://images.justwatch.com/poster/85790192/s592/weding-peulraeneo,https://www.justwatch.com/images/backdrop/200118179/s1440/weding-peulraeneo,"['https://www.wavve.com/player/movie?movieid=MV_CX01_CX0000011409', 'https://watcha.com/contents/mdjaqlO', 'http://www.netflix.com/title/60004427']","['Netflix', 'wavve', 'Watcha']"
